Datetime,SETTLEMENTDATE,Avg_RRP
2023-01-10 17:00:00,2023-01-10 17:27:30.000000000,101.10511833333334
2023-01-10 18:00:00,2023-01-10 18:27:30.000000000,208.18052666666668
2023-01-10 19:00:00,2023-01-10 19:27:30.000000000,134.36764666666667
2023-01-10 20:00:00,2023-01-10 20:27:30.000000000,125.26504583333333
2023-01-10 21:00:00,2023-01-10 21:27:30.000000000,99.02726333333334
2023-01-10 22:00:00,2023-01-10 22:27:30.000000000,99.876335
2023-01-10 23:00:00,2023-01-10 23:27:30.000000000,91.27341583333333
2023-01-11 00:00:00,2023-01-11 00:27:30.000000000,95.30486833333333
2023-01-11 01:00:00,2023-01-11 01:27:30.000000000,93.19215333333334
2023-01-11 02:00:00,2023-01-11 02:27:30.000000000,85.09226833333334
2023-01-11 03:00:00,2023-01-11 03:27:30.000000000,91.09312666666666
2023-01-11 04:00:00,2023-01-11 04:27:30.000000000,103.71852
2023-01-11 05:00:00,2023-01-11 05:27:30.000000000,117.473235
2023-01-11 06:00:00,2023-01-11 06:27:30.000000000,90.10418416666666
2023-01-11 07:00:00,2023-01-11 07:27:30.000000000,77.47225
2023-01-11 08:00:00,2023-01-11 08:27:30.000000000,74.7908725
2023-01-11 09:00:00,2023-01-11 09:27:30.000000000,89.74190416666666
2023-01-11 10:00:00,2023-01-11 10:27:30.000000000,63.275884999999995
2023-01-11 11:00:00,2023-01-11 11:27:30.000000000,66.44870833333333
2023-01-11 12:00:00,2023-01-11 12:27:30.000000000,83.39490166666667
2023-01-11 13:00:00,2023-01-11 13:27:30.000000000,103.54693833333333
2023-01-11 14:00:00,2023-01-11 14:27:30.000000000,118.40415083333333
2023-01-11 15:00:00,2023-01-11 15:27:30.000000000,107.20262916666667
2023-01-11 16:00:00,2023-01-11 16:27:30.000000000,106.07193666666667
2023-01-11 17:00:00,2023-01-11 17:27:30.000000000,151.49313916666668
2023-01-11 18:00:00,2023-01-11 18:27:30.000000000,196.74993500000002
2023-01-11 19:00:00,2023-01-11 19:27:30.000000000,183.1630575
2023-01-11 20:00:00,2023-01-11 20:27:30.000000000,146.673995
2023-01-11 21:00:00,2023-01-11 21:27:30.000000000,122.9814425
2023-01-11 22:00:00,2023-01-11 22:27:30.000000000,117.70876083333333
2023-01-11 23:00:00,2023-01-11 23:27:30.000000000,109.95160666666668
2023-01-12 00:00:00,2023-01-12 00:27:30.000000000,127.23813083333333
2023-01-12 01:00:00,2023-01-12 01:27:30.000000000,116.605685
2023-01-12 02:00:00,2023-01-12 02:27:30.000000000,113.59990499999999
2023-01-12 03:00:00,2023-01-12 03:27:30.000000000,117.674255
2023-01-12 04:00:00,2023-01-12 04:27:30.000000000,120.77064916666666
2023-01-12 05:00:00,2023-01-12 05:27:30.000000000,129.73868083333335
2023-01-12 06:00:00,2023-01-12 06:27:30.000000000,108.7943025
2023-01-12 07:00:00,2023-01-12 07:27:30.000000000,89.58955916666667
2023-01-12 08:00:00,2023-01-12 08:27:30.000000000,95.43705583333333
2023-01-12 09:00:00,2023-01-12 09:27:30.000000000,93.72275
2023-01-12 10:00:00,2023-01-12 10:27:30.000000000,72.24004666666666
2023-01-12 11:00:00,2023-01-12 11:27:30.000000000,54.45905666666667
2023-01-12 12:00:00,2023-01-12 12:27:30.000000000,65.79036083333334
2023-01-12 13:00:00,2023-01-12 13:27:30.000000000,79.79647083333333
2023-01-12 14:00:00,2023-01-12 14:27:30.000000000,120.02193916666666
2023-01-12 15:00:00,2023-01-12 15:27:30.000000000,115.95215666666667
2023-01-12 16:00:00,2023-01-12 16:27:30.000000000,162.78068083333332
2023-01-12 17:00:00,2023-01-12 17:27:30.000000000,125.47450416666668
2023-01-12 18:00:00,2023-01-12 18:27:30.000000000,138.91788499999998
2023-01-12 19:00:00,2023-01-12 19:27:30.000000000,165.19415166666667
2023-01-12 20:00:00,2023-01-12 20:27:30.000000000,129.76295666666667
2023-01-12 21:00:00,2023-01-12 21:27:30.000000000,124.49236833333333
2023-01-12 22:00:00,2023-01-12 22:27:30.000000000,114.0209775
2023-01-12 23:00:00,2023-01-12 23:27:30.000000000,105.453015
2023-01-13 00:00:00,2023-01-13 00:27:30.000000000,125.98737166666666
2023-01-13 01:00:00,2023-01-13 01:27:30.000000000,126.88240666666667
2023-01-13 02:00:00,2023-01-13 02:27:30.000000000,118.77462666666668
2023-01-13 03:00:00,2023-01-13 03:27:30.000000000,118.06557083333333
2023-01-13 04:00:00,2023-01-13 04:27:30.000000000,143.61461666666665
2023-01-13 05:00:00,2023-01-13 05:27:30.000000000,141.74516
2023-01-13 06:00:00,2023-01-13 06:27:30.000000000,92.73595416666667
2023-01-13 07:00:00,2023-01-13 07:27:30.000000000,72.35658166666667
2023-01-13 08:00:00,2023-01-13 08:27:30.000000000,76.4877225
2023-01-13 09:00:00,2023-01-13 09:27:30.000000000,91.36866083333332
2023-01-13 10:00:00,2023-01-13 10:27:30.000000000,85.55306
2023-01-13 11:00:00,2023-01-13 11:27:30.000000000,74.41064833333333
2023-01-13 12:00:00,2023-01-13 12:27:30.000000000,98.57749083333334
2023-01-13 13:00:00,2023-01-13 13:27:30.000000000,116.27952083333332
2023-01-13 14:00:00,2023-01-13 14:27:30.000000000,169.09036416666666
2023-01-13 15:00:00,2023-01-13 15:27:30.000000000,145.17977249999998
2023-01-13 16:00:00,2023-01-13 16:27:30.000000000,333.9010108333334
2023-01-13 17:00:00,2023-01-13 17:27:30.000000000,158.71038416666667
2023-01-13 18:00:00,2023-01-13 18:27:30.000000000,156.27855583333334
2023-01-13 19:00:00,2023-01-13 19:27:30.000000000,180.73569
2023-01-13 20:00:00,2023-01-13 20:27:30.000000000,149.26717333333332
2023-01-13 21:00:00,2023-01-13 21:27:30.000000000,157.24947416666666
2023-01-13 22:00:00,2023-01-13 22:27:30.000000000,118.22134416666667
2023-01-13 23:00:00,2023-01-13 23:27:30.000000000,109.39078416666666
2023-01-14 00:00:00,2023-01-14 00:27:30.000000000,125.35884583333335
2023-01-14 01:00:00,2023-01-14 01:27:30.000000000,114.12638166666666
